ID,SEQ,CONC
0,1.2462291717529297,1.4375133514404297
1,1.2191753387451172,1.4293739795684814
2,1.2201313972473145,1.5137178897857666
3,1.2608411312103271,1.4636950492858887
4,1.2584161758422852,1.458611249923706
5,1.2508690357208252,1.4690618515014648
6,1.2543118000030518,1.4650022983551025
7,1.2530381679534912,1.45914888381958
8,1.2518737316131592,1.4635398387908936
9,1.254338264465332,1.4685113430023193
10,1.293677568435669,1.4708738327026367
11,1.2298972606658936,1.4386069774627686
12,1.2284696102142334,1.4386863708496094
13,1.2379696369171143,1.4364707469940186
14,1.2280850410461426,1.4431495666503906
15,1.2303047180175781,1.435037612915039
16,1.2185595035552979,1.4304912090301514
17,1.2190687656402588,1.434842824935913
18,1.219181776046753,1.4482624530792236
19,1.2502529621124268,1.4554808139801025
