ID,SEQ,CONC
0,660.4154238700867,743.8087091445923
1,656.2429072856903,740.8587079048157
2,655.4341104030609,742.2216854095459
3,657.1384868621826,741.2118742465973
4,656.9077303409576,740.5550270080566
5,656.6125297546387,740.5204396247864
6,655.7793202400208,743.0432214736938
7,658.4293591976166,743.8302600383759
8,655.4834666252136,742.1085567474365
9,656.1555314064026,740.8011555671692
10,657.7597734928131,744.1380672454834
11,656.794670343399,741.1353528499603
12,656.804347038269,741.6096699237823
13,656.4433839321136,742.3438754081726
14,656.5580596923828,743.9855093955994
15,656.1298339366913,740.8319520950317
16,658.0155773162842,743.1688206195831
17,656.4227364063263,744.3769118785858
18,656.4022057056427,766.1727573871613
19,676.2572560310364,768.4136190414429
