ID,SEQ,CONC
0,82.56512570381165,93.21283173561096
1,82.46264147758484,93.0744993686676
2,82.31970000267029,94.92829823493958
3,82.71515727043152,93.30394101142883
4,82.49106955528259,93.2225182056427
5,82.4423611164093,93.22018527984619
6,82.42720913887024,93.08238816261292
7,82.15493726730347,93.62266850471497
8,81.10193061828613,91.7828004360199
9,81.30300259590149,92.3464503288269
10,82.17315530776978,92.61320543289185
11,81.55125617980957,92.65786504745483
12,81.07220673561096,91.64544939994812
13,80.857980966568,92.22037887573242
14,81.53683876991272,92.36010408401489
15,81.14187717437744,93.48618078231812
16,80.99278974533081,91.84749865531921
17,81.07227540016174,91.9827983379364
18,81.13586330413818,92.01102209091187
19,81.27834224700928,92.39305567741394
